loan_id,customer_id,origination_date,loan_amount,term_months,interest_rate,loan_grade,purpose,status,last_payment_date,remaining_balance,payments_made,age,annual_income,employment_length_yrs,home_ownership,state,credit_score,is_default,is_delinquent,orig_year,orig_quarter,orig_yrq,income_band,age_band
L00001,B03113,2024-08-02,13800,36,26.99,F,Personal,Late (30-59 days),2024-07-12,9547.9,3,38,31438,10,RENT,FL,550,0,1,2024,3,2024-Q3,1_Under 35K,3_35-44
L00002,B00858,2021-08-17,12400,24,20.32,E,Personal,Fully Paid,2024-11-13,0.0,24,47,29800,6,MORTGAGE,TN,606,0,0,2021,3,2021-Q3,1_Under 35K,4_45-54
L00003,B02306,2021-02-21,15400,48,22.32,E,Home Improvement,Current,2024-12-17,641.67,46,75,45725,8,OWN,CO,664,0,0,2021,1,2021-Q1,2_35K-55K,6_65+
L00004,B02551,2022-07-18,27800,48,22.1,E,Medical,Late (30-59 days),2024-09-26,15092.39,26,22,83473,1,MORTGAGE,FL,587,0,1,2022,3,2022-Q3,4_80K-120K,1_21-25
L00005,B02187,2022-05-17,9100,36,20.76,E,Debt Consolidation,Current,2024-12-05,1263.89,31,24,36910,2,RENT,OH,668,0,0,2022,2,2022-Q2,2_35K-55K,1_21-25
L00006,B01226,2022-04-03,12900,36,18.8,D,Debt Consolidation,Default,2024-08-24,6858.9,5,40,25130,9,OWN,TX,657,1,0,2022,2,2022-Q2,1_Under 35K,3_35-44
L00007,B02557,2021-10-13,23700,36,13.53,C,Personal,Fully Paid,2024-08-08,0.0,36,21,42247,10,RENT,TX,701,0,0,2021,4,2021-Q4,2_35K-55K,1_21-25
L00008,B00654,2021-07-29,17100,60,21.54,E,Personal,Current,2024-12-06,5415.0,41,28,36641,2,MORTGAGE,IL,650,0,0,2021,3,2021-Q3,2_35K-55K,2_26-34
L00009,B01340,2024-01-22,14800,48,17.72,D,Vacation,Late (30-59 days),2024-08-13,9459.74,9,44,35411,5,MORTGAGE,MI,640,0,1,2024,1,2024-Q1,2_35K-55K,3_35-44
L00010,B02718,2021-06-28,40000,48,16.99,D,Debt Consolidation,Current,2024-12-11,5000.0,42,52,115307,6,MORTGAGE,LA,706,0,0,2021,2,2021-Q2,4_80K-120K,4_45-54
L00011,B03393,2024-04-24,9700,36,16.79,D,Home Improvement,Current,2024-12-30,7544.44,8,41,25417,1,RENT,MN,638,0,0,2024,2,2024-Q2,1_Under 35K,3_35-44
L00012,B01063,2023-05-15,5700,36,13.48,C,Home Improvement,Current,2024-12-07,2691.67,19,55,34770,4,MORTGAGE,PA,704,0,0,2023,2,2023-Q2,1_Under 35K,5_55-64
L00013,B02533,2021-03-07,19300,24,17.24,D,Medical,Fully Paid,2024-11-01,0.0,24,48,64569,9,OWN,IL,651,0,0,2021,1,2021-Q1,3_55K-80K,4_45-54
L00014,B01609,2021-03-03,28600,60,22.11,E,Home Improvement,Current,2024-11-27,7150.0,45,45,65763,0,RENT,MO,614,0,0,2021,1,2021-Q1,3_55K-80K,4_45-54
L00015,B01082,2021-07-11,22400,48,21.04,E,Auto,Default,2024-11-30,10185.73,19,37,86049,4,RENT,IL,629,1,0,2021,3,2021-Q3,4_80K-120K,3_35-44
L00016,B02649,2022-03-24,36600,48,17.72,D,Debt Consolidation,Current,2024-12-27,11437.5,33,42,103934,2,MORTGAGE,CA,677,0,0,2022,1,2022-Q1,4_80K-120K,3_35-44
L00017,B02655,2022-04-22,18600,48,21.14,E,Home Improvement,Default,2024-07-05,6372.5,3,34,39655,7,RENT,MN,609,1,0,2022,2,2022-Q2,2_35K-55K,2_26-34
L00018,B00156,2023-11-01,40000,36,13.48,C,Debt Consolidation,Current,2024-12-29,25555.56,13,33,160365,8,RENT,CA,725,0,0,2023,4,2023-Q4,5_Over 120K,2_26-34
L00019,B04297,2024-05-17,16500,36,12.95,C,Business,Current,2024-12-27,13291.67,7,29,36947,6,MORTGAGE,VA,678,0,0,2024,2,2024-Q2,2_35K-55K,2_26-34
L00020,B03070,2021-02-24,13500,36,16.09,D,Debt Consolidation,Fully Paid,2024-09-01,0.0,36,50,35559,4,RENT,FL,644,0,0,2021,1,2021-Q1,2_35K-55K,4_45-54
L00021,B01964,2024-02-24,29500,36,14.02,C,Home Improvement,Current,2024-11-29,21305.56,10,49,68152,3,RENT,LA,695,0,0,2024,1,2024-Q1,3_55K-80K,4_45-54
L00022,B01235,2022-02-12,11600,24,22.23,E,Debt Consolidation,Fully Paid,2024-11-04,0.0,24,32,35748,5,MORTGAGE,SC,662,0,0,2022,1,2022-Q1,2_35K-55K,2_26-34
L00023,B01477,2024-08-23,40000,24,16.47,D,Business,Current,2024-12-13,33333.33,4,40,121700,4,RENT,IL,648,0,0,2024,3,2024-Q3,5_Over 120K,3_35-44
L00024,B03756,2024-01-22,18200,48,18.1,D,Personal,Default,2024-09-15,10671.38,3,21,107476,9,OWN,IL,649,1,0,2024,1,2024-Q1,4_80K-120K,1_21-25
L00025,B00831,2023-05-10,13000,60,26.27,F,Business,Current,2024-12-26,8883.33,19,25,36449,4,MORTGAGE,CA,636,0,0,2023,2,2023-Q2,2_35K-55K,1_21-25
L00026,B03729,2022-03-28,12800,60,20.52,E,Debt Consolidation,Current,2024-12-13,5760.0,33,27,42803,2,MORTGAGE,NY,676,0,0,2022,1,2022-Q1,2_35K-55K,2_26-34
L00027,B01343,2023-07-09,9000,24,16.07,D,Debt Consolidation,Current,2024-12-03,2625.0,17,47,21559,10,RENT,FL,654,0,0,2023,3,2023-Q3,1_Under 35K,4_45-54
L00028,B02165,2024-04-21,10300,36,17.81,D,Home Improvement,Current,2024-12-07,8011.11,8,60,32991,1,RENT,TN,634,0,0,2024,2,2024-Q2,1_Under 35K,5_55-64
L00029,B02745,2022-07-24,40000,48,10.12,B,Personal,Current,2024-12-06,15833.33,29,21,72000,4,OWN,VA,681,0,0,2022,3,2022-Q3,3_55K-80K,1_21-25
L00030,B04299,2021-01-14,40000,60,10.19,B,Debt Consolidation,Current,2024-12-30,8666.67,47,30,97822,3,RENT,CA,710,0,0,2021,1,2021-Q1,4_80K-120K,2_26-34
L00031,B01845,2021-11-23,12200,60,16.06,D,Personal,Late (90+ days),2024-08-02,9109.43,21,43,49884,3,MORTGAGE,WI,653,0,1,2021,4,2021-Q4,2_35K-55K,3_35-44
L00032,B00462,2023-05-16,1900,60,25.9,F,Debt Consolidation,Default,2024-10-22,1290.3,3,42,27822,4,MORTGAGE,CA,624,1,0,2023,2,2023-Q2,1_Under 35K,3_35-44
L00033,B02992,2022-11-28,7300,48,26.69,F,Personal,Default,2024-07-18,3577.65,14,49,32022,7,RENT,VA,627,1,0,2022,4,2022-Q4,1_Under 35K,4_45-54
L00034,B01579,2022-07-24,9600,36,26.1,F,Home Improvement,Current,2024-12-17,1866.67,29,33,23503,10,RENT,CA,541,0,0,2022,3,2022-Q3,1_Under 35K,2_26-34
L00035,B00201,2021-11-15,9100,24,16.71,D,Home Improvement,Charged Off,2024-10-28,3178.15,12,46,28393,5,RENT,NC,615,1,0,2021,4,2021-Q4,1_Under 35K,4_45-54
L00036,B00516,2022-03-17,10700,24,10.67,B,Personal,Fully Paid,2024-08-23,0.0,24,51,36994,6,MORTGAGE,OH,714,0,0,2022,1,2022-Q1,2_35K-55K,4_45-54
L00037,B02397,2022-11-21,9000,48,13.63,C,Debt Consolidation,Current,2024-11-27,4312.5,25,30,32987,7,RENT,WI,645,0,0,2022,4,2022-Q4,1_Under 35K,2_26-34
L00038,B03232,2021-07-29,24400,24,21.78,E,Business,Fully Paid,2024-09-17,0.0,24,21,56045,3,RENT,WA,626,0,0,2021,3,2021-Q3,3_55K-80K,1_21-25
L00039,B03697,2021-07-09,22000,48,17.44,D,Auto,Current,2024-12-22,3208.33,41,35,69843,5,MORTGAGE,OH,709,0,0,2021,3,2021-Q3,3_55K-80K,3_35-44
L00040,B01276,2023-02-18,7200,48,22.94,E,Home Improvement,Current,2024-12-12,3900.0,22,43,23943,1,RENT,CA,645,0,0,2023,1,2023-Q1,1_Under 35K,3_35-44
L00041,B03294,2021-07-18,17300,24,21.0,E,Personal,Fully Paid,2024-08-28,0.0,24,46,38268,4,MORTGAGE,VA,639,0,0,2021,3,2021-Q3,2_35K-55K,4_45-54
L00042,B01630,2023-01-06,11300,60,12.92,C,Debt Consolidation,Default,2024-11-29,2998.28,5,52,22020,0,RENT,CA,650,1,0,2023,1,2023-Q1,1_Under 35K,4_45-54
L00043,B04019,2022-12-06,8000,36,16.87,D,Home Improvement,Current,2024-11-26,2666.67,24,35,34584,7,RENT,MO,662,0,0,2022,4,2022-Q4,1_Under 35K,3_35-44
L00044,B04490,2024-05-21,18100,60,16.96,D,Home Improvement,Current,2024-11-26,15988.33,7,42,38379,2,RENT,FL,663,0,0,2024,2,2024-Q2,2_35K-55K,3_35-44
L00045,B02017,2022-06-26,33800,60,10.43,B,Home Improvement,Current,2024-12-22,16900.0,30,38,124341,0,MORTGAGE,MI,765,0,0,2022,2,2022-Q2,5_Over 120K,3_35-44
L00046,B00167,2021-03-30,15300,36,27.36,F,Auto,Fully Paid,2024-10-31,0.0,36,51,34443,9,RENT,NC,609,0,0,2021,1,2021-Q1,1_Under 35K,4_45-54
L00047,B00976,2023-07-30,40000,36,21.67,E,Debt Consolidation,Default,2024-11-21,26773.96,9,21,120596,4,MORTGAGE,OH,678,1,0,2023,3,2023-Q3,5_Over 120K,1_21-25
L00048,B00860,2024-01-04,14800,36,13.49,C,Debt Consolidation,Current,2024-12-31,10277.78,11,49,42143,6,RENT,VA,644,0,0,2024,1,2024-Q1,2_35K-55K,4_45-54
L00049,B03945,2021-09-13,19300,48,20.58,E,Home Improvement,Default,2024-07-08,6034.68,22,37,54363,7,MORTGAGE,SC,601,1,0,2021,3,2021-Q3,2_35K-55K,3_35-44
L00050,B00210,2023-02-15,20100,36,20.23,E,Personal,Current,2024-12-06,7816.67,22,75,47987,8,RENT,NY,656,0,0,2023,1,2023-Q1,2_35K-55K,6_65+
L00051,B01609,2021-06-11,15400,60,22.11,E,Debt Consolidation,Current,2024-11-27,4620.0,42,45,65763,0,RENT,MO,614,0,0,2021,2,2021-Q2,3_55K-80K,4_45-54
L00052,B00214,2024-02-05,13700,36,17.91,D,Personal,Current,2024-11-26,9894.44,10,49,59655,4,MORTGAGE,IL,646,0,0,2024,1,2024-Q1,3_55K-80K,4_45-54
L00053,B03432,2022-08-24,40000,48,10.45,B,Debt Consolidation,Current,2024-12-26,16666.67,28,58,102771,7,MORTGAGE,IL,732,0,0,2022,3,2022-Q3,4_80K-120K,5_55-64
L00054,B00973,2024-07-11,18800,60,18.18,D,Auto,Current,2024-12-12,17233.33,5,52,39920,3,RENT,NY,607,0,0,2024,3,2024-Q3,2_35K-55K,4_45-54
L00055,B03800,2024-06-20,39200,48,20.94,E,Home Improvement,Current,2024-12-18,34300.0,6,29,86505,4,MORTGAGE,OH,568,0,0,2024,2,2024-Q2,4_80K-120K,2_26-34
L00056,B00304,2023-01-11,11000,24,12.56,C,Medical,Current,2024-12-09,458.33,23,49,33211,1,MORTGAGE,CA,663,0,0,2023,1,2023-Q1,1_Under 35K,4_45-54
L00057,B01836,2024-03-28,9100,48,21.54,E,Home Improvement,Current,2024-12-18,7393.75,9,46,51341,5,RENT,GA,628,0,0,2024,1,2024-Q1,2_35K-55K,4_45-54
L00058,B00861,2022-01-29,14000,36,12.82,C,Auto,Current,2024-12-05,388.89,35,44,47789,3,OWN,TX,668,0,0,2022,1,2022-Q1,2_35K-55K,3_35-44
L00059,B04048,2021-05-23,36800,24,14.48,C,Personal,Charged Off,2024-07-23,2910.34,7,75,93747,6,MORTGAGE,AZ,718,1,0,2021,2,2021-Q2,4_80K-120K,6_65+
L00060,B01856,2021-04-04,20200,36,16.04,D,Auto,Fully Paid,2024-10-26,0.0,36,33,43070,5,RENT,OH,702,0,0,2021,2,2021-Q2,2_35K-55K,2_26-34
L00061,B03462,2024-09-16,39400,36,10.39,B,Auto,Current,2024-12-21,36116.67,3,64,120619,7,MORTGAGE,OH,686,0,0,2024,3,2024-Q3,5_Over 120K,5_55-64
L00062,B02168,2022-04-12,17300,48,16.73,D,Home Improvement,Current,2024-12-20,5766.67,32,26,43554,6,RENT,GA,685,0,0,2022,2,2022-Q2,2_35K-55K,2_26-34
L00063,B01634,2022-08-16,16500,36,10.71,B,Home Improvement,Current,2024-12-17,3666.67,28,54,49968,3,RENT,SC,741,0,0,2022,3,2022-Q3,2_35K-55K,4_45-54
L00064,B02475,2021-06-13,40000,48,21.4,E,Auto,Current,2024-12-15,5000.0,42,45,102955,8,RENT,IN,674,0,0,2021,2,2021-Q2,4_80K-120K,4_45-54
L00065,B02378,2022-04-22,8300,24,21.72,E,Home Improvement,Charged Off,2024-10-13,587.39,11,26,32747,9,RENT,CA,642,1,0,2022,2,2022-Q2,1_Under 35K,2_26-34
L00066,B01751,2021-07-26,13000,24,17.31,D,Debt Consolidation,Fully Paid,2024-11-02,0.0,24,21,35834,10,RENT,PA,673,0,0,2021,3,2021-Q3,2_35K-55K,1_21-25
L00067,B02683,2023-02-18,23800,24,16.72,D,Medical,Current,2024-12-20,1983.33,22,38,73231,3,MORTGAGE,TX,679,0,0,2023,1,2023-Q1,3_55K-80K,3_35-44
L00068,B03412,2022-07-24,33500,36,10.8,B,Home Improvement,Current,2024-12-28,6513.89,29,37,66878,9,OWN,FL,685,0,0,2022,3,2022-Q3,3_55K-80K,3_35-44
L00069,B04276,2023-07-18,1100,36,10.8,B,Debt Consolidation,Current,2024-11-26,580.56,17,40,22982,7,RENT,NC,691,0,0,2023,3,2023-Q3,1_Under 35K,3_35-44
L00070,B04386,2024-07-25,20700,48,10.82,B,Personal,Current,2024-12-02,18543.75,5,37,62064,7,MORTGAGE,CA,691,0,0,2024,3,2024-Q3,3_55K-80K,3_35-44
L00071,B04283,2023-01-18,35300,60,25.37,F,Medical,Current,2024-11-26,21768.33,23,55,93990,10,RENT,TX,606,0,0,2023,1,2023-Q1,4_80K-120K,5_55-64
L00072,B00486,2021-11-30,15500,36,8.14,A,Medical,Fully Paid,2024-11-13,0.0,36,24,120534,2,OWN,KY,738,0,0,2021,4,2021-Q4,5_Over 120K,1_21-25
L00073,B01361,2023-01-29,40000,24,6.78,A,Personal,Current,2024-12-13,1666.67,23,41,97136,4,MORTGAGE,NY,731,0,0,2023,1,2023-Q1,4_80K-120K,3_35-44
L00074,B00773,2022-12-29,8500,36,14.42,C,Debt Consolidation,Default,2024-11-14,1971.38,7,49,25340,6,OWN,FL,704,1,0,2022,4,2022-Q4,1_Under 35K,4_45-54
L00075,B03778,2022-03-06,18800,60,13.67,C,Personal,Current,2024-12-15,8460.0,33,27,75344,3,RENT,SC,676,0,0,2022,1,2022-Q1,3_55K-80K,2_26-34
L00076,B01833,2022-07-01,17500,48,13.77,C,Personal,Current,2024-12-25,6927.08,29,53,38415,1,RENT,IN,709,0,0,2022,3,2022-Q3,2_35K-55K,4_45-54
L00077,B01300,2024-08-20,9300,48,17.81,D,Debt Consolidation,Default,2024-10-12,5282.2,0,45,34298,6,MORTGAGE,TX,714,1,0,2024,3,2024-Q3,1_Under 35K,4_45-54
L00078,B00182,2021-05-27,15500,36,20.54,E,Medical,Fully Paid,2024-07-06,0.0,36,31,35702,10,RENT,IL,592,0,0,2021,2,2021-Q2,2_35K-55K,2_26-34
L00079,B01263,2024-06-01,10500,36,13.84,C,Debt Consolidation,Current,2024-11-30,8750.0,6,48,28574,6,MORTGAGE,MI,705,0,0,2024,2,2024-Q2,1_Under 35K,4_45-54
L00080,B03906,2024-07-24,5500,36,13.91,C,Home Improvement,Current,2024-12-10,4736.11,5,38,18000,5,MORTGAGE,AZ,693,0,0,2024,3,2024-Q3,1_Under 35K,3_35-44
L00081,B00146,2021-12-17,24400,60,11.51,B,Debt Consolidation,Current,2024-12-09,9760.0,36,51,119248,1,MORTGAGE,MI,703,0,0,2021,4,2021-Q4,4_80K-120K,4_45-54
L00082,B03943,2023-12-30,11800,36,9.94,B,Business,Current,2024-12-23,7866.67,12,34,43040,5,MORTGAGE,FL,698,0,0,2023,4,2023-Q4,2_35K-55K,2_26-34
L00083,B01840,2022-05-17,21100,48,14.38,C,Debt Consolidation,Current,2024-12-16,7472.92,31,39,47819,10,MORTGAGE,MO,688,0,0,2022,2,2022-Q2,2_35K-55K,3_35-44
L00084,B00803,2021-12-01,37000,36,17.5,D,Home Improvement,Fully Paid,2024-11-06,0.0,36,43,78577,3,OWN,NC,642,0,0,2021,4,2021-Q4,3_55K-80K,3_35-44
