customer_id,age,annual_income,employment_length_yrs,home_ownership,state,credit_score
B00001,47,28931,8,RENT,OK,674
B00002,40,23297,7,OWN,IL,656
B00003,49,20517,3,OWN,TX,596
B00004,60,61521,6,RENT,TX,635
B00005,39,43576,2,MORTGAGE,TX,620
B00006,39,60395,5,RENT,TX,634
B00007,60,71665,9,MORTGAGE,TN,657
B00008,51,56731,4,RENT,CA,651
B00009,36,70387,9,MORTGAGE,UT,643
B00010,48,47181,6,MORTGAGE,GA,626
B00011,36,25518,2,RENT,GA,635
B00012,36,87710,6,OWN,NY,686
B00013,44,35453,5,RENT,WA,637
B00014,21,29302,4,MORTGAGE,PA,692
B00015,21,44451,1,RENT,NY,675
B00016,35,29671,4,MORTGAGE,FL,583
B00017,29,38964,1,MORTGAGE,SC,672
B00018,45,59232,1,MORTGAGE,FL,687
B00019,31,59372,4,RENT,PA,646
B00020,25,29917,3,RENT,NY,587
B00021,59,37487,10,RENT,CA,651
B00022,39,88511,4,MORTGAGE,TX,679
B00023,42,64409,8,MORTGAGE,TX,621
B00024,24,153473,6,MORTGAGE,WA,658
B00025,35,93814,7,OWN,IL,679
B00026,43,91983,3,MORTGAGE,MA,672
B00027,28,22849,10,RENT,WA,626
B00028,46,74616,6,MORTGAGE,TX,668
B00029,34,47609,9,MORTGAGE,NC,612
B00030,38,36205,4,RENT,AZ,632
B00031,34,53766,1,MORTGAGE,NJ,681
B00032,64,82443,7,MORTGAGE,MI,662
B00033,41,64566,0,MORTGAGE,AZ,599
B00034,29,30237,5,RENT,CA,628
B00035,51,73743,2,RENT,AZ,628
B00036,27,34521,7,RENT,FL,660
B00037,44,55225,10,RENT,NC,673
B00038,21,41487,5,MORTGAGE,FL,586
B00039,26,43461,9,MORTGAGE,MD,684
B00040,44,74714,5,OWN,OH,627
B00041,50,27664,5,MORTGAGE,NJ,707
B00042,44,142893,10,MORTGAGE,IN,708
B00043,40,18004,9,RENT,MN,590
B00044,38,35287,8,RENT,AZ,604
B00045,24,60091,3,RENT,TX,677
