loan_id,status,last_payment_date,remaining_balance,payments_made
L00001,Late (30-59 days),2024-07-12,9547.9,3
L00002,Fully Paid,2024-11-13,0.0,24
L00003,Current,2024-12-17,641.67,46
L00004,Late (30-59 days),2024-09-26,15092.39,26
L00005,Current,2024-12-05,1263.89,31
L00006,Default,2024-08-24,6858.9,5
L00007,Fully Paid,2024-08-08,0.0,36
L00008,Current,2024-12-06,5415.0,41
L00009,Late (30-59 days),2024-08-13,9459.74,9
L00010,Current,2024-12-11,5000.0,42
L00011,Current,2024-12-30,7544.44,8
L00012,Current,2024-12-07,2691.67,19
L00013,Fully Paid,2024-11-01,0.0,24
L00014,Current,2024-11-27,7150.0,45
L00015,Default,2024-11-30,10185.73,19
L00016,Current,2024-12-27,11437.5,33
L00017,Default,2024-07-05,6372.5,3
L00018,Current,2024-12-29,25555.56,13
L00019,Current,2024-12-27,13291.67,7
L00020,Fully Paid,2024-09-01,0.0,36
L00021,Current,2024-11-29,21305.56,10
L00022,Fully Paid,2024-11-04,0.0,24
L00023,Current,2024-12-13,33333.33,4
L00024,Default,2024-09-15,10671.38,3
L00025,Current,2024-12-26,8883.33,19
L00026,Current,2024-12-13,5760.0,33
L00027,Current,2024-12-03,2625.0,17
L00028,Current,2024-12-07,8011.11,8
L00029,Current,2024-12-06,15833.33,29
L00030,Current,2024-12-30,8666.67,47
L00031,Late (90+ days),2024-08-02,9109.43,21
L00032,Default,2024-10-22,1290.3,3
L00033,Default,2024-07-18,3577.65,14
L00034,Current,2024-12-17,1866.67,29
L00035,Charged Off,2024-10-28,3178.15,12
L00036,Fully Paid,2024-08-23,0.0,24
L00037,Current,2024-11-27,4312.5,25
L00038,Fully Paid,2024-09-17,0.0,24
L00039,Current,2024-12-22,3208.33,41
L00040,Current,2024-12-12,3900.0,22
L00041,Fully Paid,2024-08-28,0.0,24
L00042,Default,2024-11-29,2998.28,5
L00043,Current,2024-11-26,2666.67,24
L00044,Current,2024-11-26,15988.33,7
L00045,Current,2024-12-22,16900.0,30
L00046,Fully Paid,2024-10-31,0.0,36
L00047,Default,2024-11-21,26773.96,9
L00048,Current,2024-12-31,10277.78,11
L00049,Default,2024-07-08,6034.68,22
L00050,Current,2024-12-06,7816.67,22
L00051,Current,2024-11-27,4620.0,42
L00052,Current,2024-11-26,9894.44,10
L00053,Current,2024-12-26,16666.67,28
L00054,Current,2024-12-12,17233.33,5
L00055,Current,2024-12-18,34300.0,6
L00056,Current,2024-12-09,458.33,23
L00057,Current,2024-12-18,7393.75,9
L00058,Current,2024-12-05,388.89,35
L00059,Charged Off,2024-07-23,2910.34,7
L00060,Fully Paid,2024-10-26,0.0,36
L00061,Current,2024-12-21,36116.67,3
L00062,Current,2024-12-20,5766.67,32
L00063,Current,2024-12-17,3666.67,28
L00064,Current,2024-12-15,5000.0,42
L00065,Charged Off,2024-10-13,587.39,11
L00066,Fully Paid,2024-11-02,0.0,24
L00067,Current,2024-12-20,1983.33,22
L00068,Current,2024-12-28,6513.89,29
L00069,Current,2024-11-26,580.56,17
L00070,Current,2024-12-02,18543.75,5
L00071,Current,2024-11-26,21768.33,23
L00072,Fully Paid,2024-11-13,0.0,36
L00073,Current,2024-12-13,1666.67,23
L00074,Default,2024-11-14,1971.38,7
L00075,Current,2024-12-15,8460.0,33
L00076,Current,2024-12-25,6927.08,29
L00077,Default,2024-10-12,5282.2,0
L00078,Fully Paid,2024-07-06,0.0,36
L00079,Current,2024-11-30,8750.0,6
L00080,Current,2024-12-10,4736.11,5
L00081,Current,2024-12-09,9760.0,36
L00082,Current,2024-12-23,7866.67,12
L00083,Current,2024-12-16,7472.92,31
L00084,Fully Paid,2024-11-06,0.0,36
L00085,Current,2024-12-13,11055.56,16
L00086,Late (60-89 days),2024-11-14,4338.07,14
L00087,Late (90+ days),2024-10-13,6208.13,20
L00088,Current,2024-12-11,14083.33,4
L00089,Current,2024-11-30,23833.33,10
L00090,Fully Paid,2024-08-08,0.0,24
L00091,Charged Off,2024-09-08,2500.87,16
L00092,Charged Off,2024-09-14,2409.62,15
L00093,Current,2024-12-22,10500.0,32
L00094,Fully Paid,2024-07-10,0.0,36
L00095,Late (60-89 days),2024-07-09,14033.41,20
L00096,Current,2024-12-08,2183.33,20
L00097,Charged Off,2024-09-12,11319.37,7
L00098,Current,2024-12-04,614.58,43
L00099,Current,2024-12-21,758.33,33
L00100,Current,2024-12-31,11618.75,9
L00101,Current,2024-12-11,12879.17,26
L00102,Current,2024-12-16,10710.0,33
L00103,Default,2024-10-06,15741.16,1
L00104,Current,2024-12-04,21938.89,14
L00105,Current,2024-12-14,13390.0,21
L00106,Default,2024-08-31,27798.98,2
L00107,Current,2024-12-23,8391.67,17
L00108,Fully Paid,2024-09-08,0.0,36
L00109,Current,2024-12-01,1500.0,30
L00110,Fully Paid,2024-08-05,0.0,36
L00111,Current,2024-12-03,7153.33,31
L00112,Current,2024-12-09,28888.89,10
L00113,Current,2024-12-12,9097.22,11
L00114,Current,2024-11-30,3133.33,30
L00115,Current,2024-11-26,14600.0,8
L00116,Current,2024-12-25,3541.67,19
L00117,Current,2024-12-20,10226.67,8
L00118,Current,2024-12-26,9675.0,21
L00119,Current,2024-12-14,10208.33,23
L00120,Late (30-59 days),2024-10-27,5428.23,28
L00121,Fully Paid,2024-07-17,0.0,36
L00122,Current,2024-12-19,25555.56,13
L00123,Late (90+ days),2024-09-25,7897.21,9
L00124,Fully Paid,2024-11-12,0.0,36
L00125,Fully Paid,2024-11-12,0.0,36
L00126,Current,2024-12-30,5900.0,40
L00127,Fully Paid,2024-07-25,0.0,36
L00128,Default,2024-11-24,8055.41,1
L00129,Current,2024-12-06,4408.33,37
L00130,Default,2024-10-08,13272.73,5
L00131,Default,2024-11-22,5483.12,2
L00132,Current,2024-11-26,3173.33,43
L00133,Current,2024-12-15,8750.0,22
L00134,Current,2024-11-27,625.0,22
