loan_id,customer_id,origination_date,loan_amount,term_months,interest_rate,loan_grade,purpose
L00001,B03113,2024-08-02,13800,36,26.99,F,Personal
L00002,B00858,2021-08-17,12400,24,20.32,E,Personal
L00003,B02306,2021-02-21,15400,48,22.32,E,Home Improvement
L00004,B02551,2022-07-18,27800,48,22.1,E,Medical
L00005,B02187,2022-05-17,9100,36,20.76,E,Debt Consolidation
L00006,B01226,2022-04-03,12900,36,18.8,D,Debt Consolidation
L00007,B02557,2021-10-13,23700,36,13.53,C,Personal
L00008,B00654,2021-07-29,17100,60,21.54,E,Personal
L00009,B01340,2024-01-22,14800,48,17.72,D,Vacation
L00010,B02718,2021-06-28,40000,48,16.99,D,Debt Consolidation
L00011,B03393,2024-04-24,9700,36,16.79,D,Home Improvement
L00012,B01063,2023-05-15,5700,36,13.48,C,Home Improvement
L00013,B02533,2021-03-07,19300,24,17.24,D,Medical
L00014,B01609,2021-03-03,28600,60,22.11,E,Home Improvement
L00015,B01082,2021-07-11,22400,48,21.04,E,Auto
L00016,B02649,2022-03-24,36600,48,17.72,D,Debt Consolidation
L00017,B02655,2022-04-22,18600,48,21.14,E,Home Improvement
L00018,B00156,2023-11-01,40000,36,13.48,C,Debt Consolidation
L00019,B04297,2024-05-17,16500,36,12.95,C,Business
L00020,B03070,2021-02-24,13500,36,16.09,D,Debt Consolidation
L00021,B01964,2024-02-24,29500,36,14.02,C,Home Improvement
L00022,B01235,2022-02-12,11600,24,22.23,E,Debt Consolidation
L00023,B01477,2024-08-23,40000,24,16.47,D,Business
L00024,B03756,2024-01-22,18200,48,18.1,D,Personal
L00025,B00831,2023-05-10,13000,60,26.27,F,Business
L00026,B03729,2022-03-28,12800,60,20.52,E,Debt Consolidation
L00027,B01343,2023-07-09,9000,24,16.07,D,Debt Consolidation
L00028,B02165,2024-04-21,10300,36,17.81,D,Home Improvement
L00029,B02745,2022-07-24,40000,48,10.12,B,Personal
L00030,B04299,2021-01-14,40000,60,10.19,B,Debt Consolidation
L00031,B01845,2021-11-23,12200,60,16.06,D,Personal
L00032,B00462,2023-05-16,1900,60,25.9,F,Debt Consolidation
L00033,B02992,2022-11-28,7300,48,26.69,F,Personal
L00034,B01579,2022-07-24,9600,36,26.1,F,Home Improvement
L00035,B00201,2021-11-15,9100,24,16.71,D,Home Improvement
L00036,B00516,2022-03-17,10700,24,10.67,B,Personal
L00037,B02397,2022-11-21,9000,48,13.63,C,Debt Consolidation
L00038,B03232,2021-07-29,24400,24,21.78,E,Business
L00039,B03697,2021-07-09,22000,48,17.44,D,Auto
L00040,B01276,2023-02-18,7200,48,22.94,E,Home Improvement
L00041,B03294,2021-07-18,17300,24,21.0,E,Personal
L00042,B01630,2023-01-06,11300,60,12.92,C,Debt Consolidation
L00043,B04019,2022-12-06,8000,36,16.87,D,Home Improvement
L00044,B04490,2024-05-21,18100,60,16.96,D,Home Improvement
L00045,B02017,2022-06-26,33800,60,10.43,B,Home Improvement
L00046,B00167,2021-03-30,15300,36,27.36,F,Auto
L00047,B00976,2023-07-30,40000,36,21.67,E,Debt Consolidation
L00048,B00860,2024-01-04,14800,36,13.49,C,Debt Consolidation
L00049,B03945,2021-09-13,19300,48,20.58,E,Home Improvement
L00050,B00210,2023-02-15,20100,36,20.23,E,Personal
L00051,B01609,2021-06-11,15400,60,22.11,E,Debt Consolidation
L00052,B00214,2024-02-05,13700,36,17.91,D,Personal
L00053,B03432,2022-08-24,40000,48,10.45,B,Debt Consolidation
L00054,B00973,2024-07-11,18800,60,18.18,D,Auto
L00055,B03800,2024-06-20,39200,48,20.94,E,Home Improvement
L00056,B00304,2023-01-11,11000,24,12.56,C,Medical
L00057,B01836,2024-03-28,9100,48,21.54,E,Home Improvement
L00058,B00861,2022-01-29,14000,36,12.82,C,Auto
L00059,B04048,2021-05-23,36800,24,14.48,C,Personal
L00060,B01856,2021-04-04,20200,36,16.04,D,Auto
L00061,B03462,2024-09-16,39400,36,10.39,B,Auto
L00062,B02168,2022-04-12,17300,48,16.73,D,Home Improvement
L00063,B01634,2022-08-16,16500,36,10.71,B,Home Improvement
L00064,B02475,2021-06-13,40000,48,21.4,E,Auto
L00065,B02378,2022-04-22,8300,24,21.72,E,Home Improvement
L00066,B01751,2021-07-26,13000,24,17.31,D,Debt Consolidation
L00067,B02683,2023-02-18,23800,24,16.72,D,Medical
L00068,B03412,2022-07-24,33500,36,10.8,B,Home Improvement
L00069,B04276,2023-07-18,1100,36,10.8,B,Debt Consolidation
L00070,B04386,2024-07-25,20700,48,10.82,B,Personal
L00071,B04283,2023-01-18,35300,60,25.37,F,Medical
L00072,B00486,2021-11-30,15500,36,8.14,A,Medical
L00073,B01361,2023-01-29,40000,24,6.78,A,Personal
L00074,B00773,2022-12-29,8500,36,14.42,C,Debt Consolidation
L00075,B03778,2022-03-06,18800,60,13.67,C,Personal
L00076,B01833,2022-07-01,17500,48,13.77,C,Personal
L00077,B01300,2024-08-20,9300,48,17.81,D,Debt Consolidation
L00078,B00182,2021-05-27,15500,36,20.54,E,Medical
L00079,B01263,2024-06-01,10500,36,13.84,C,Debt Consolidation
L00080,B03906,2024-07-24,5500,36,13.91,C,Home Improvement
L00081,B00146,2021-12-17,24400,60,11.51,B,Debt Consolidation
L00082,B03943,2023-12-30,11800,36,9.94,B,Business
L00083,B01840,2022-05-17,21100,48,14.38,C,Debt Consolidation
L00084,B00803,2021-12-01,37000,36,17.5,D,Home Improvement
L00085,B01999,2023-08-05,19900,36,15.34,D,Medical
L00086,B03951,2023-02-17,6400,36,22.22,E,Debt Consolidation
L00087,B01319,2022-07-07,10400,48,20.36,E,Debt Consolidation
L00088,B03799,2024-08-03,16900,24,13.63,C,Debt Consolidation
L00089,B02259,2024-02-15,28600,60,7.49,A,Home Improvement
L00090,B02941,2022-03-26,25300,24,13.17,C,Home Improvement
L00091,B04062,2022-10-27,22900,24,22.21,E,Personal
L00092,B02053,2021-04-25,17200,36,23.78,E,Debt Consolidation
L00093,B03853,2022-04-15,22500,60,13.49,C,Personal
L00094,B00216,2021-03-07,24800,36,10.97,B,Vacation
L00095,B00786,2022-10-09,23300,36,22.06,E,Medical
L00096,B01636,2023-04-02,13100,24,14.49,C,Personal
L00097,B02300,2022-07-03,33700,24,20.99,E,Business
L00098,B03753,2021-05-16,5900,48,12.47,C,Vacation
L00099,B03110,2022-03-09,9100,36,21.25,E,Personal
L00100,B04324,2024-03-07,14300,48,17.9,D,Debt Consolidation
L00101,B00285,2022-10-07,28100,48,7.33,A,Business
L00102,B03582,2022-03-12,23800,60,16.65,D,Medical
L00103,B02011,2024-09-04,24300,36,12.33,C,Debt Consolidation
L00104,B02414,2023-10-20,35900,36,16.91,D,Business
L00105,B01644,2023-03-22,20600,60,22.04,E,Home Improvement
L00106,B01128,2024-08-09,40000,48,26.66,F,Debt Consolidation
L00107,B03473,2023-07-29,15900,36,20.89,E,Debt Consolidation
L00108,B01270,2021-10-20,5800,36,22.21,E,Debt Consolidation
L00109,B03779,2022-06-27,3000,60,16.36,D,Home Improvement
L00110,B00644,2021-10-13,14100,36,16.91,D,Personal
L00111,B02779,2022-05-21,14800,60,21.81,E,Home Improvement
L00112,B00026,2024-02-24,40000,36,17.16,D,Home Improvement
L00113,B03323,2024-01-09,13100,36,7.93,A,Auto
L00114,B02046,2022-06-23,18800,36,21.92,E,Debt Consolidation
L00115,B03938,2024-04-12,21900,24,9.72,B,Business
L00116,B01026,2023-05-28,7500,36,20.94,E,Personal
L00117,B03831,2024-04-10,11800,60,14.07,C,Personal
L00118,B01069,2023-03-29,17200,48,13.99,C,Home Improvement
L00119,B00939,2023-01-12,19600,48,26.31,F,Business
L00120,B04099,2022-03-26,8700,48,20.79,E,Debt Consolidation
L00121,B01473,2021-10-11,30400,36,18.02,D,Debt Consolidation
L00122,B03648,2023-11-10,40000,36,16.6,D,Auto
L00123,B02326,2023-10-08,10700,60,21.83,E,Auto
